,question,human_answer,method,model_answer,context,exec_time
68,"What are the recommended prerequists, if any, for calculus in one variable 1 (TATA41)?",foundation course in mathematics (TATB01/TATM79),RAG," There is no information provided about a course called ""calculus in one variable 1 (TATA41)"" in the given context. However, it seems likely that a prerequisite for such a course would be an understanding of linear algebra and possibly some foundational knowledge of calculus as well.","Course: calculus, several variables (tata83) (tata83)
Course code:
tata83

Course title:
calculus, several variables (tata83)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Bachelor of Science in Engineering Electronics
 - Master of Science in Chemical Biology
 - Master of Science in Engineering Biology
 - Bachelor of Science in Applied Physics

Prerequisites:
Linear Algebra, Calculus, one variable

Intended learning outcomes:

The aim is that the student shall become familiar with the mathematical concepts, the reasoning, and the relations that constitute several variable calculus, and also to acquire computitional and problem solving skills, to the extent required for further studies. After completing the course, the student should be able to
 - explain basic concepts and theorems for calculus in several variables.
 - identify and apply relevant methods to solve problems in calculus in several variables.
Course: multivariable calculus (tata76) (tata76)
Course code:
tata76

Course title:
multivariable calculus (tata76)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Computer Science and Engineering

Prerequisites:
Linear Algebra, Calculus, one variable

Intended learning outcomes:

The aim is that the student, after completing this course, should be able to carry out problem solving and calculations within all three parts of the course content.

Course content:
Course: calculus in one and several variables (tata91) (tata91)
Course code:
tata91

Course title:
calculus in one and several variables (tata91)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering

Prerequisites:
Calculus in one variable 1, Linear Algebra

Intended learning outcomes:

Gain familiarity with mathematical concepts, reasoning and relationships in calculus in one and several variables, and gain the calculation and problem solving skills needed for further studies. After completing this course you should be able to
 - cite, explain and use the definitions and theorems of the course’s key concepts
 - solve problems and verify that results are correct or resonable",103060.05
69,"What are the recommended prerequists, if any, for probability, first course (TAMS14)?","Linear algebra, differential and integral calculus, series",RAG, The recommended prerequisite for the probability course (TAMS14) is a first course in mathematics at the university level.,"Course: experimental design and biostatistics (tams38) (tams38)
Prerequisites:
A first course in probability and statistics
Course: statistics and probability (tniu66) (tniu66)
Prerequisites:
A first course in mathematics at university level.

Intended learning outcomes:

The course aims to provide an introduction to mathematical modeling of random trials and to statistical methods and concepts. It shall also demonstrate applications relevant to the programs for which it is given. After the course the student will be able to:
 - analyze and visualize the distribution of a dataset.
 - calculate probabilities of certain events, using theorems from probability theory.
 - calculate point estimates  and confidence intervals.
 - perform a hypothesis testing.
 - perform a correlation analysis.
 - perform  a simple linear regression analysis.
 - use computer support for all calculations where relevant.
Course: statistical theory, advanced course (tams17) (tams17)
Course code:
tams17

Course title:
statistical theory, advanced course (tams17)

Main field of study:
Mathematics, Applied Mathematics

Course level:
Second cycle

Advancement level:
A1X

Specific information:

The course is available every second year, uneven years.

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Bachelor's Programme in Mathematics
 - Master's Programme in Mathematics

Prerequisites:

Basic courses in probability theory and statistics. An advanced course in probability theory is helpful, but not required.

Intended learning outcomes:",64430.50
70,"What are the recommended prerequists, if any, for statistics, first course (TAMS24)?","Calculus, matrix algebra and a first course in probability theory (TAMS14)",RAG," To enroll in Statistics, First Course (TAMS24), students must have completed a first course in probability and statistics as a prerequisite. Additionally, courses in calculus and linear algebra are also required. Students should also have documented knowledge of English equivalent to ""Engelska B,"" which can be demonstrated through proficiency in the English language or by obtaining a minimum score on internationally recognized tests such as TOEFL, IELTS, or an equivalent assessment.","Course: experimental design and biostatistics (tams38) (tams38)
Prerequisites:
A first course in probability and statistics
Course: theory of statistics (732a36) (732a36)
Course code:
732a36

Course title:
theory of statistics (732a36)

Main field of study:
Statistics

Course level:
Second cycle

Advancement level:
A1X

Entry requirements:
Student’s entering the course should have passed at least one course in basic statistics. Also, courses in calculus and linear algebra are required. Documented knowledge of English equivalent to ""Engelska B""; i.e. English as native language or an internationally recognized test, e.g. TOEFL (minimum scores: Paperbased 550 + TWE-score 4.0, computorbased 213 and internetbased 79), IELTS, academic (minimum score: Overall band 6.0 and no band under 5.0), or equivalent.
Course: introduction to statistical methodology (732g30) (732g30)
Course content:

The course aims for the student to create and develop a constructive approach to quantitative data and to give the basis for future statistics courses.The following is covered in the course:- repetition of basic mathematical methods that are used in statistics,- tables and diagrams and descriptive measures for a variable,- contingency tables and table analysis,- weighted averages and standard weighting,- scales and distributions, normal distribution,- basic probability theory,- sampling distributions,- point and interval estimation concerning means, proportions and variances,- statistical tests concerning means, proportions and variances.",85012.15
71,"What are the recommended prerequists, if any, for linear algebra, honours course (TATA53)?",A basic course in linear algebra (TATA24),RAG," The recommended prerequisite for the linear algebra, honours course (TATA53) is a basic course in linear algebra.","Course: linear algebra, honours course (tata53) (tata53)
Prerequisites:
A basic course in linear algebra.

Intended learning outcomes:

This course extends the first course in linear algebra so that the student will be prepared for advanced courses in mathematics and applied subjects. After completing the course the student will be able to
 - describe basic concepts and properties of complex vector spaces
 - use and prove the spectral theorem for Hermitian and normal maps
 - use the singular value decomposition in applications
 - use the theory of positive matrices in applications
 - determine and apply the Jordan canonical form
 - use linear algebra in solving systems of differential and difference equations
Course: numerical linear algebra (tana15) (tana15)


Intended learning outcomes:

The course is intended to provide basic knowledge about important matrix decompositions; such as the LU or SVD decompositions, and show how matrix decompositions can be used for analyzing and solving both practical and theoretical problems. The course also covers various important techniques from Linear Algebra, such as the Shur complement, convolutions, polynomial manipulation, or orthogonal basis generation. Both linear, and non-linear, least squares problems are also discussed in the course.After the course students should be able to:Discuss the most common matrix factorizations, and explain their properties.Understand how the most common matrix factorizations are computed; and implement numerical algorithms for computing the most important factorizations.Use matrix factorizations for solving both theoretical problems and practical problems from applications.Discuss the usage of Linear Algebra techniques when solving important application problems, such as pattern recognition, data compression, signal processing, search engines, or model fitting.
Course: linear algebra with geometry (tata67) (tata67)
Course code:
tata67

Course title:
linear algebra with geometry (tata67)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Energy - Environment - Management
 - Master of Science in Mechanical Engineering
 - Master of Science in Design and Product Development

Prerequisites:
Lycée mathematics and physics (natural sciences or technical programmes).

Intended learning outcomes:

That you should be able to provide yourself with the basic knowledge in linear algebra whichneeded in other courses within the program. After completing the course, you should be able to:
 - work with concepts and solve tasks in the areas described in PartA of the course content.
 - perform calculations and report solutions to tasks within Part B ofthe course.

Course content:",88539.34
72,"What are the recommended prerequists, if any, for linear algebra (TATA24)?",secondary school mathematics (none is okay too),RAG, The recommended prerequisite for linear algebra (TATA24) is a basic course in linear algebra.,"Course: numerical linear algebra (tana15) (tana15)


Intended learning outcomes:

The course is intended to provide basic knowledge about important matrix decompositions; such as the LU or SVD decompositions, and show how matrix decompositions can be used for analyzing and solving both practical and theoretical problems. The course also covers various important techniques from Linear Algebra, such as the Shur complement, convolutions, polynomial manipulation, or orthogonal basis generation. Both linear, and non-linear, least squares problems are also discussed in the course.After the course students should be able to:Discuss the most common matrix factorizations, and explain their properties.Understand how the most common matrix factorizations are computed; and implement numerical algorithms for computing the most important factorizations.Use matrix factorizations for solving both theoretical problems and practical problems from applications.Discuss the usage of Linear Algebra techniques when solving important application problems, such as pattern recognition, data compression, signal processing, search engines, or model fitting.
Course: linear algebra (tata24) (tata24)
Course code:
tata24

Course title:
linear algebra (tata24)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Computer Science and Engineering
 - Bachelor's Programme in Mathematics
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:

Admisson to the course requires , as well as general university requirements, secondary school mathematics (or equivalent).
Course: linear algebra, honours course (tata53) (tata53)
Prerequisites:
A basic course in linear algebra.

Intended learning outcomes:

This course extends the first course in linear algebra so that the student will be prepared for advanced courses in mathematics and applied subjects. After completing the course the student will be able to
 - describe basic concepts and properties of complex vector spaces
 - use and prove the spectral theorem for Hermitian and normal maps
 - use the singular value decomposition in applications
 - use the theory of positive matrices in applications
 - determine and apply the Jordan canonical form
 - use linear algebra in solving systems of differential and difference equations",68762.93
73,"What are the recommended prerequists, if any, for modern physics I (TFYA73)?","Mathematics, Calculus, Linear algebra, Mechanics, Wave Motion, Electromagnetic Field Theory",RAG," The recommended prerequisites for Modern Physics I (TFYA73) include a basic course in quantum mechanics including perturbation theory, as well as Analytical Mechanics, Quantum Dynamics, and Relativistic Quantum Mechanics or Theory of Relativity. These courses can be studied in parallel.","Course: elementary particle physics (tfya27) (tfya27)
Course code:
tfya27

Course title:
elementary particle physics (tfya27)

Main field of study:
Applied Physics, Physics

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Physics and Nanoscience, Master's Programme
 - Applied Physics and Electrical Engineering, M Sc in Engineering
 - Applied Physics and Electrical Engineering - International, M Sc in Engineering

Specific information:

The course is given every second year, even years.The course is not offered during 2018.

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:

A basic course in quantum mechanics including perturbation theory. Analytical Mechanics, Quantum dynamics and Relativistic Quantum Mechanics or Theory of Relativity are recommended (may be studied in parallell).

Intended learning outcomes:
Course: modern physics i (tfya73) (tfya73)
Course code:
tfya73

Course title:
modern physics i (tfya73)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International

Prerequisites:

Mathematics, Calculus, Linear algebra, Mechanics, Wave Motion, Electromagnetic Field Theory.

Intended learning outcomes:
Course: relativistic quantum mechanics (tfya57) (tfya57)
Course code:
tfya57

Course title:
relativistic quantum mechanics (tfya57)

Main field of study:
Applied Physics, Physics

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Applied Physics and Electrical Engineering - International, M Sc in Engineering
 - Applied Physics and Electrical Engineering, M Sc in Engineering
 - Physics and Nanoscience, Master's Programme

Specific information:

The course is given every second year, uneven years.

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:

Classical Electrodynamics, Analytical mechanics, Quantum mechanics.

Intended learning outcomes:",104274.64
74,"What are the recommended prerequists, if any, for modern physics II (TFYA74)?","Calculus, Mechanics, Wave Motion and Electromagnetic Field Theory ",RAG," The recommended prerequisites for Modern Physics II (TFYA74) include a basic course in quantum mechanics including perturbation theory, as well as Analytical Mechanics, Quantum Dynamics, and Relativistic Quantum Mechanics or Theory of Relativity. These can be studied in parallel.","Course: modern physics ii (tfya74) (tfya74)
Prerequisites:
Calculus, Mechanics, Wave Motion and Electromagnetic Field Theory

Intended learning outcomes:

In Modern physics II applications of the foundations of relativity and quantum physics given in Modern Physics I are included. After completion of this course the student will be able to: outline the main ideas and theories in the more applied areas of modern physics solve problems in modern physics by choosing appropriate methods and assess the plausibility of the results obtained formulate and evaluate mathematical models describing physical problems explain the significance of the Swedish and English terms used in the field perform simple measurements and computer simulations of importance in modern physics
Course: elementary particle physics (tfya27) (tfya27)
Course code:
tfya27

Course title:
elementary particle physics (tfya27)

Main field of study:
Applied Physics, Physics

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Physics and Nanoscience, Master's Programme
 - Applied Physics and Electrical Engineering, M Sc in Engineering
 - Applied Physics and Electrical Engineering - International, M Sc in Engineering

Specific information:

The course is given every second year, even years.The course is not offered during 2018.

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:

A basic course in quantum mechanics including perturbation theory. Analytical Mechanics, Quantum dynamics and Relativistic Quantum Mechanics or Theory of Relativity are recommended (may be studied in parallell).

Intended learning outcomes:
Course: modern physics ii (tfya74) (tfya74)
Course code:
tfya74

Course title:
modern physics ii (tfya74)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International

Prerequisites:
Calculus, Mechanics, Wave Motion and Electromagnetic Field Theory",81310.32
75,"What are the recommended prerequists, if any, for engineering mechanics y (TMME12)?","Basic courses in algebra and calculus, wave physics",RAG," There is no information provided about the ""engineering mechanics y (TMME12)"" course in the given context. However, the prerequisites for similar courses like ""engineering mechanics (TMME27)"" include Algebra, Calculus.","Course: mechanics - dynamics (tmme13) (tmme13)
Course code:
tmme13

Course title:
mechanics - dynamics (tmme13)

Main field of study:
Mechanical Engineering

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Design and Product Development

Prerequisites:
Basic courses in linear algebra and calculus.

Intended learning outcomes:

To give the student familarity with the fundamental laws of classical mechanics and the skill to independently apply these laws to engineering problems. After the course, the student should be able to:explain the properties of a force.define basic concepts of mechanics such as equilibrium, velocity,acceleration, angular velocity, angular acceleration, momentum, angular momentum, moment of inertia, work, energy.write down expressions for and compute the above quantities for engineering problems.draw free body diagrams, formulate kinematical relations, apply Euler's laws and thereby find the ordinary differential equations governing the motion of a body.
Course: engineering mechanics (tmme27) (tmme27)
Course code:
tmme27

Course title:
engineering mechanics (tmme27)

Main field of study:
Mechanical Engineering

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Industrial Engineering and Management - International
 - Master of Science in Industrial Engineering and Management

Prerequisites:
Algebra, Calculus.

Intended learning outcomes:

The course familiarises students with the laws and methods of classical mechanics and practice in applying these. After the course the student isexpected to:
 - know and understand central concepts, models and methods of statics, particle dynamics and rigid body dynamics.
 - have acquired a systematic approach to the solution of engineering problems based on the chain idealization - mathematical formulation -interpretation of results.
 - be able to critically assess results of calculations, both with respect to the suitability of the model and its correct application.
Course: models in physics (tfya15) (tfya15)
Course code:
tfya15

Course title:
models in physics (tfya15)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Information Technology, M Sc in Engineering

Prerequisites:
Basic algebra,  Calculus of one variable.

Intended learning outcomes:

To develop the ability to use, estimate and create models of physical systems related to classical mechanics. After successful examination the student should be able to model and analytically or numerically solve basic mechanics problems using motion equations, force laws, and derived momentum equations and energy principles.Furthermore, the student should individually and in group be able to apply; experimental problem solving to handle problems related to mechanics.",100449.91
76,"What are the recommended prerequists, if any, for engineering mechanics II (TMME04)?","Statics and particle mechanics, Basic courses in algebra and analysis (especially the geometric interpretations of scalar and vector products, and ordinary differential equations)",RAG," The information provided does not include details about ""Engineering Mechanics II (TMME04)."" Therefore, it is not possible to provide the recommended prerequisites for this specific course without more contextual information.","Course: models in physics (tfya15) (tfya15)
Course code:
tfya15

Course title:
models in physics (tfya15)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Information Technology, M Sc in Engineering

Prerequisites:
Basic algebra,  Calculus of one variable.

Intended learning outcomes:

To develop the ability to use, estimate and create models of physical systems related to classical mechanics. After successful examination the student should be able to model and analytically or numerically solve basic mechanics problems using motion equations, force laws, and derived momentum equations and energy principles.Furthermore, the student should individually and in group be able to apply; experimental problem solving to handle problems related to mechanics.
Course: mechanics - dynamics (tmme13) (tmme13)
Course code:
tmme13

Course title:
mechanics - dynamics (tmme13)

Main field of study:
Mechanical Engineering

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Design and Product Development

Prerequisites:
Basic courses in linear algebra and calculus.

Intended learning outcomes:

To give the student familarity with the fundamental laws of classical mechanics and the skill to independently apply these laws to engineering problems. After the course, the student should be able to:explain the properties of a force.define basic concepts of mechanics such as equilibrium, velocity,acceleration, angular velocity, angular acceleration, momentum, angular momentum, moment of inertia, work, energy.write down expressions for and compute the above quantities for engineering problems.draw free body diagrams, formulate kinematical relations, apply Euler's laws and thereby find the ordinary differential equations governing the motion of a body.
Course: engineering mechanics (tmme27) (tmme27)
Course code:
tmme27

Course title:
engineering mechanics (tmme27)

Main field of study:
Mechanical Engineering

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Industrial Engineering and Management - International
 - Master of Science in Industrial Engineering and Management

Prerequisites:
Algebra, Calculus.

Intended learning outcomes:

The course familiarises students with the laws and methods of classical mechanics and practice in applying these. After the course the student isexpected to:
 - know and understand central concepts, models and methods of statics, particle dynamics and rigid body dynamics.
 - have acquired a systematic approach to the solution of engineering problems based on the chain idealization - mathematical formulation -interpretation of results.
 - be able to critically assess results of calculations, both with respect to the suitability of the model and its correct application.",97727.92
77,"What are the recommended prerequists, if any, for oscillations and mechanical waves (TFYA81)?","Calculus in one variable, Linear algebra",RAG, The recommended prerequisites for oscillations and mechanical waves (TFYA81) include Calculus in one variable and Linear Algebra.,"Course: oscillations and mechanical waves (tfya81) (tfya81)
Course code:
tfya81

Course title:
oscillations and mechanical waves (tfya81)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Applied Physics and Electrical Engineering - International, M Sc in Engineering
 - Applied Physics and Electrical Engineering, M Sc in Engineering

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:
Calculus in one variable. Linear algebra.
Course: oscillations and mechanical waves (tfya82) (tfya82)
Course code:
tfya82

Course title:
oscillations and mechanical waves (tfya82)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Biomedical Engineering, M Sc in Engineering

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:
Calculus in one variable. Linear algebra.
Course: optics - theory and application (tfya84) (tfya84)
Course code:
tfya84

Course title:
optics - theory and application (tfya84)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Biomedical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master of Science in Applied Physics and Electrical Engineering
 - Bachelor's Programme in Physics and Nanoscience

Entry requirements:

Note: Admission requirements for non-programme students usually also include admission requirements for the programme and threshold requirements for progression within the programme, or corresponding.

Prerequisites:

Calculus in one and many variables. Oscillations and waves. Linear algebra.",73011.34
78,"What are the recommended prerequists, if any, for optics - theory and application (TFYA84)?","Calculus in one and many variables, Oscillations and waves, Linear algebra",RAG," There are no specific prerequisites mentioned for the course ""Optics - Theory and Application"" (TFYA84). However, it is expected that students have a background in physics, mathematics, and some knowledge of optics to successfully follow this course.","Course: modern optics (tfya97)


Course content:

The course aims to provide in-depth knowledge of several of the fields of optics. The purpose is also to be a link between basic optics courses and the content covered in more specialized optics courses and to disseminate knowledge in optics to prepare for industrial applications and to understand on an overall level the results of ongoing international optics research. The ambition is to describe the path from theory to application and at the same time provide models, methodology and tools that are practically useful. For the engineer, studies include mathematical models for analysis with the aim of providing physical / mathematical tools that are useful for developing and describing the optical systems, methods and components that exist in different environments in society and that need further development. For the curious physicist, basic theory is anchored in physics with the aim of providing an understanding of the optics relevant in current research. The course connects to real world problems through application examples to show that it is a short step between university studies and the knowledge and methods used in industrial development and research. Theories and models are tested in laboratory work and calculation steps to illustrate their usefulness and limitations.

The course consist of four parts (I-IV) which subheadings according to,I. Wave optics: -Coherence theory, -Fourier optics, -Near field optics.II. Material optics: -Optical response, -Dispersion models, -Inhomogeneous materials, -Layered structures.III. Polarization optics: -Polarized light, -Polarizing components, -Polarization methods.IV. Ray optics and particle optics: -Variation analysis, -Transformation optics, -Photon optics, -Electron and neutron optics

The lectures begin with brief repetitions of basic optics and then develop further into the more advanced concepts. The course also places great emphasis on the optical properties of materials and in many cases the theory is supplemented with application examples.

In the course many concepts are covered including:Coherence, Doppler shift, Gaussian rays, Fourier optics, laser optics, fiber optics and optical waveguides, dispersion models, Kramers / Kronig relationships, polarizing materials, heterogeneous media, effective media concepts, Jones formalism, Stokes/Mueller formalism, spectrophotometry, polarimetry, ellipsometry, matrix formalism for optical systems, and ray-tracking methods.

In addition, guest lecturers provide insights into the optical research front.
Course: biomedical optics (tbmt36) (tbmt36)
Director of Studies or equivalent:
Marcus Larsson

Examiner:
Göran Salerud

Education components:
Preliminary scheduled hours: 54 h
Recommended self-study hours: 106 h

Course literature:

Books:
 - Bigio, I.J., Fantini S.,  (2016)  Quantitative biomedical optics Cambridge University Press
 - Boas, David A., Pitris, Constantinos, Ramanujam, Nimmi,  (2011)  Handbook of biomedical optics. [Elektronisk resurs] Boca Raton : CRC Press, c2011.  ISBN: 9781420090376, 9781420090369
 - Splinter, Robert, Hooper, Brett Andrew,  (2007)  An introduction to biomedical optics New York : Taylor & Francis, c2007.  ISBN: 9780750309387, 0750309385
Course: biomedical optics (tbmt57)
Department:
Institutionen för medicinsk teknik

Course literature:

Books:
 - Bigio, I.J., Fantini S.,  (2016)  Quantitative biomedical optics Cambridge University Press
 - Boas, David A., Pitris, Constantinos, Ramanujam, Nimmi,  (2011)  Handbook of biomedical optics. [Elektronisk resurs] Boca Raton : CRC Press, c2011.  ISBN: 9781420090376, 9781420090369
 - Splinter, Robert, Hooper, Brett Andrew,  (2007)  An introduction to biomedical optics New York : Taylor & Francis, c2007.  ISBN: 9780750309387, 0750309385",142686.52
79,"What are the recommended prerequists, if any, for machine learning (TDDE01)?","Probability theory, Statistics, Mathematical analysis, Linear Algebra, Basic programming",RAG," The recommended prerequisites for Machine Learning (TDDE01) include: 

1. Signals and Systems or Continuous Linear Systems
2. Signal Theory
3. Detection and Estimation of Signals
4. One or more advanced-level courses in the fields of Communications, Signal Processing, Networking, or Data Science
5. Basic computer programming skills, preferably in an object-oriented language.","Course: project course in signal processing, communications and networking, cdio (tsks23)
Prerequisites:

Signals and Systems or continous Linear Systems, Signal Theory, Detection and Estimation of Signals, and preferably one or more advanced-level courses in the fields of communications, signal processing, networking, or data science. Basic computer programming skills, preferably in an object-oriented language.

Intended learning outcomes:
Course: machine learning (tdde01) (tdde01)
Course code:
tdde01

Course title:
machine learning (tdde01)

Main field of study:
Information Technology, Computer Science and Engineering, Computer Science

Course level:
Second cycle

Advancement level:
A1X
Course: digital image processing (tsbb08) (tsbb08)
Prerequisites:

1-D signal processing: deterministic signals, linear systems, convolution, the continuous Fourier transform and its theorems, basic filters (low-pass, high-pass, and band-pass), discrete Fourier transform (desirable but not necessary), sampling and reconstruction (desirable but not necessary).Linear algebra: vector, matrix, determinant, scalar product, bases, the least square method.One- and multidimensional calculus.Programming in one of the following languages: C, C++, Java, Ada, Python or Matlab.

Intended learning outcomes:",76456.94
80,"What are the recommended prerequists, if any, for advanced machine learning (TDDE15)?","Probability theory and Statistics, Bayesian Learning, Machine Learning, Mathematical analysis, Linear Algebra, Basic programming",RAG," The recommended prerequisites for Advanced Machine Learning (TDDE15) include probability theory and statistics, Bayesian learning, machine learning, mathematical analysis, linear algebra, and basic programming skills.","Course: advanced machine learning (tdde15) (tdde15)
Course code:
tdde15

Course title:
advanced machine learning (tdde15)

Main field of study:
Computer Science and Engineering, Computer Science

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Computer Science and Engineering
 - Master of Science in Information Technology
 - Master of Science in Biomedical Engineering
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Mathematics
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Industrial Engineering and Management - International

Prerequisites:

Probability theory and Statistics; Bayesian Learning; Machine Learning; Mathematical analysis; Linear Algebra; Basic programming.

Intended learning outcomes:
Course: digital signal processing (tsrt78) (tsrt78)


Intended learning outcomes:

The student should after the course have the ability to describe the most important methods and algorithms for signal processing, and be able to apply these on signals of various kinds. More specifically, after the course the student should have the ability toCompute the discrete Fourier transform (DFT) and understand scaling effects and practical limitations implied by finite data length and sampling.Use the DFT for filtering and know how circular convolution is avoided.Explain the basic signal models and their relationship.Perform transform-based and model-based spectral analysis, and understand the compromise between resolution and noise suppression.Describe the theory for model estimation, and be able to apply algorithms for this purpose and validate an estimated model.Describe the basics in optimal filtering and be able to compute a Wiener filter for simple examples.Describe the premises for Kalman filtering, and be able to apply a Kalman filter to data and tune it to compromise tracking speed, transient behavior and noise suppression.Describe the most important adaptive filters, some common applications, and be able to apply and tune an adaptive filter to compromise parameter tracking speed and noise suppression.
Course: project course in signal processing, communications and networking, cdio (tsks23)
Prerequisites:

Signals and Systems or continous Linear Systems, Signal Theory, Detection and Estimation of Signals, and preferably one or more advanced-level courses in the fields of communications, signal processing, networking, or data science. Basic computer programming skills, preferably in an object-oriented language.

Intended learning outcomes:",74044.21
81,"What are the recommended prerequists, if any, for introduction to optimization (TAOP07)?","Calculus, linear algebra, and programming",RAG," The recommended prerequisites for Introduction to Optimization (TAOP07) include Calculus, Linear Algebra, and programming.","Course: mathematical optimization (taop04) (taop04)
Course code:
taop04

Course title:
mathematical optimization (taop04)

Main field of study:
Mathematics, Applied Mathematics

Course level:
Second cycle

Advancement level:
A1X

Specific information:

The course is offered every second year, even years.

Course offered for:
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Industrial Engineering and Management - International
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Mathematics

Prerequisites:
Calculus, linear algebra, Matlab, and an introductory course in optimization.
Course: introduction to optimization (taop07) (taop07)
Course code:
taop07

Course title:
introduction to optimization (taop07)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Biomedical Engineering
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Bachelor's Programme in Mathematics
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:

Calculus, linear algebra, and programming

Intended learning outcomes:

The course aims to provide a broad introduction to optimization theory and deals with modelling, theory, solution methods and the use of software to solve different types of optimization problems.
Course: applied optimization project course (taop87)
Course code:
taop87

Course title:
applied optimization project course

Main field of study:
Mathematics, Applied Mathematics

Course level:
Second cycle

Advancement level:
A1X

Specific information:

The course is offered every second year, uneven years.

Course offered for:
 - Master of Science in Computer Science and Engineering
 - Master of Science in Information Technology
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Mathematics

Prerequisites:

An introductory course in optimization. The projects use theories from courses on other departments. The projects that are possible to choose are thereby governed by the prerequisites.",92222.23
